ddyg,dosage_and_administration,drug_properties,flavor_and_meridian_tropism,functions_of_curing,latin,medicinal_parts,name,nmedicinal_partsame,other_name,pinyin,plant,process,production_place,taboos,type_
《雷公炮炙论》,研末吞服，一次1～1.5g，一日2～3次。3～9g。,本品卷呈圆盘状，盘径17～34cm，体长可达2m。头在中间稍向上，呈三角形而扁平，吻端向上，习称“翘鼻头”。上腭有管状毒牙，中空尖锐。背部两侧各有黑褐色与浅棕色组成的“V”形斑纹17～25个，其“V”形的两上端在背中线上相接，习称“方胜纹”，有的左右不相接，呈交错排列。腹部撑开或不撑开，灰白色，鳞片?较大，有黑色类圆形的斑点，习称“连珠斑”；腹内壁黄白色，脊椎骨的棘突较高，呈刀片状上突，前后椎体下突基本同形，多为弯刀状，向后倾斜，尖端明显超过椎体后隆面。尾部骤细，末端有三角形深灰色的角质鳞片1枚。气腥，味微咸。,温；甘、咸；归肝经；有毒,祛风，通络，止痉。用于风湿顽痹，麻木拘挛、中风口眼歪斜，半身不遂，抽搐痉挛，破伤风，麻风疥癣。,Agkistrodon,除内脏的全体,蕲蛇,除内脏的全体,白花蛇、褰鼻蛇，蕲州白花蛇、花蛇,QI SHE,怕风、怕光、喜栖阴湿环境。活动少，行动慢，阴雨天较为活跃，晴天或白天较少活动。喜食动物。以蛙、蟾蜍、晰蜴、鼠类为食。,夏、秋二季捕捉。除去内脏洗净，用竹片撑开腹部，盘成圆形用文火烘干或晒干。,湖北、江西、浙江,,祛风湿药
《名医别录》,内服：煎汤，10～15g鲜品30～60g）；或熬膏；或入丸、散。外用：适量。煎汤洗，熬膏涂，或浸酒搽。,大黄精呈肥厚肉质的结节块状，结节长可达10cm以上，宽3～6cm，厚2～3cm。表面淡黄色至黄棕色，具环节，有皱纹及须根痕，结节上侧茎痕呈圆盘状，圆周凹人，中部突出。质硬而韧，不易折断，断面角质，淡黄色至黄棕色。气微，味甜，嚼之有黏性。,平；甘；归脾、肺、肾经,补气养阴，健脾，润肺，益肾。用于脾胃虚弱，体倦乏力，口干食少，肺虚燥咳，精血不足，内热消渴。,Rhizoma Polygonati,根茎,黄精,根茎,龙衔、太阳草、白及、野生姜、山姜、玉竹黄精、鸡头参,HUANG JING,喜温暖湿润的气候和阴湿和环境。耐寒，喜潮湿，以选土层深厚、疏松、肥沃、排水良好、潮湿或阴蔽的砂质壤土栽培为宜。用根茎繁殖。,种植3年后，于秋季地上部枯萎后挖取根茎。除去须根、洗净泥土，蒸20分钟左右使其透心后，取出。,河北、内蒙古、山西滇：云南、贵州、广西,中寒泄泻及痰湿痞满者禁服。,补益药
《名医别录》,内服：煎汤，6～10g，或入丸、散。外用：适量，煎水熏洗或捣敷。,本品长圆形，多纵剖成两半，长4～9cm，宽2～5cm，厚1～2.5cm。外表面紫红色或红棕色，有不规则的深皱纹；剖面边缘向内卷曲，果肉红棕色，中心部分凹陷，棕黄色；种子扁长三角形，多脱落。质坚硬。气微清香，味酸。,温；酸；归肝、脾经,平肝舒筋，和胃化湿。用于湿痹拘挛，腰膝关节酸重疼痛，吐泻转筋，脚气水肿。,Fructus Chaenomelis,成熟果实,木瓜,成熟果实,木瓜实、铁脚梨,MU GUA,喜温暖湿润的气候，对土壤条件要求不严。用种子、分株或扦插繁殖。,夏、秋二季果实绿黄时采收。置沸水中烫至外皮灰白色，对半纵剖，晒干。,安徽、四川、湖北,湿热偏盛，小便淋闭者慎服。不可多服。,祛风湿药
《名医别录》,内服：煎汤，5～10g；或入丸、散。,柳叶白前：根茎呈细长圆柱形，有分枝，稍弯曲，长4～15cm，直径1.5～4mm。表面黄白色或黄棕色，节明显，节间长1.5～4.5cm，顶端有残茎。质脆，断面中空。节处簇生纤细弯曲的根，长可达lOcm，直径不及lmm，有多次分枝呈毛须状，常盘曲成团。气微，味微甜。芜花叶白前：根茎较短小或略呈块状；表面灰绿色或灰黄色，节间长1～2cm。质较硬。根稍弯曲，直径约lmm，分枝少。,微温；辛、苦；归肺经,降气，消痰，止咳。用于肺气壅实，咳嗽痰多，胸满喘急。,Rhizoma Cynanchi Stauntonii,根茎及根,白前,根茎及根,石蓝、嗽药,BAI QIAN,喜温暖潮湿的气候环境，忌干旱。宜选池塘边、沼泽地或水田边栽培为宜。分根繁殖。,秋季采挖。洗净，晒干。,浙江、安徽、福建,阴虚火旺、肺肾气虚咳嗽者慎服。,化痰止咳平喘药
《名医别录》,内服：煎汤，6～10g，或入丸、散。外用：适量，煎水熏洗或捣敷。,本品长圆形，多纵剖成两半，长4～9cm，宽2～5cm，厚1～2.5cm。外表面紫红色或红棕色，有不规则的深皱纹；剖面边缘向内卷曲，果肉红棕色，中心部分凹陷，棕黄色；种子扁长三角形，多脱落。质坚硬。气微清香，味酸。,温；酸；归肝、脾经,平肝舒筋，和胃化湿。用于湿痹拘挛，腰膝关节酸重疼痛，吐泻转筋，脚气水肿。,Fructus Chaenomelis,成熟果实,木瓜,成熟果实,木瓜实、铁脚梨,MU GUA,喜温暖湿润的气候，对土壤条件要求不严。用种子、分株或扦插繁殖。,夏、秋二季果实绿黄时采收。置沸水中烫至外皮灰白色，对半纵剖，晒干。,安徽、四川、湖北,湿热偏盛，小便淋闭者慎服。不可多服。,祛风湿药
《神农本草经》,内服：煎汤，3～16g（大剂量15-30g）；或入丸、散。,本品呈长圆柱形，多分枝，长30～75cm，粗端直径0.3～lcm。表面红棕色至棕色，有纵棱线、细皱纹及小疙瘩状的叶痕、枝痕、芽痕，皮孔点状。质硬而脆，易折断。切片厚2～4mm，断面皮部红棕色，木部黄白色至浅黄棕色，髓部略呈方形。有特异香气，味甜、微辛，皮部味较浓。,温；辛、甘；归心、肺、膀胱经,发汗解肌，温通经脉，助阳化气。用于风寒感冒，腕腹冷痛，血寒经闭，关节痹痛，痰饮，水肿，心悸，奔豚。,Ramulus Cinnamomi,嫩枝,桂枝,嫩枝,柳桂、嫩桂枝、桂枝尖,GUI ZHI,,11～12月间采挖。除去叶，晒干，或切片晒干。,广东、广西、云南,热病高热，阴虚火旺，血热妄行者禁服。,解表药
《神农本草经》,内服：煎汤，6～10g；或入丸、散。外用：适量，捣敷、研末撒或煎汤洗。,本品叶片多皱缩卷曲、破碎，完整者展乎后呈卵圆形，长4～11cm，宽2.5～9cm。先端长尖或急尖，基部圆形或宽楔形，边缘具圆锯齿。两面紫色或上表面绿色，下表面紫色，疏生灰白色毛，下表面有多数凹点状的腺鳞。叶柄长2～7cm，紫色或紫绿色。质脆。带嫩枝者，枝的直径2～5mm，紫绿色，断面中部有髓。气清香，味微辛。,温；辛；归肺、脾经,解表散寒，行气和胃。用于风寒感冒，咳嗽呕恶，妊娠呕吐，鱼蟹中毒。,Folium Perillae,叶,紫苏叶,叶,苏叶,ZI SU YE,,夏季枝叶茂盛时采收。除去杂质，晒干。,我国南北均产,气虚、阴虚及瘟病患者慎服。,解表药
《神农本草经》,内服：煎汤，3～9g；或入丸、散。,本品长30～50cm，基部紫红色，上部黄绿色或淡黄色，全体密被白色茸毛。茎方柱形，直径1～2mm，节明显，节间长4～7cm；质脆，易折断。叶对生，多皱缩或脱落，叶片展平后呈长卵形或披针形，暗绿色或黄绿色，边缘有疏锯齿。穗状花序顶生及腋生，苞片宽卵形，脱落或残存；花萼宿存，钟状，淡紫红色或灰绿色，先端5裂，密被茸毛。小坚果4，近圆球形，具网纹，网间隙下凹呈浅凹状。气清香而浓，味微辛而凉。,微温；辛；归肺、胃经,发汗解表，和中利湿。用于暑湿感冒，恶寒发热，头痛无汗，腹痛吐泻，小便不利。,Herba Moslae,全草,香薷,全草,香茸、香茹草,XIANG RU,,夏、秋二季茎叶茂盛、果实成熟时采割。除去杂质，晒干。,江西、安徽、河南,内服宜凉饮。表虚自汗、阴虚有热者禁用。,解表药
《神农本草经》,内服：煎汤，4.5～9g；或入丸、散。外用：适量，煎水熏洗，捣敷或研末调敷。,本品茎呈方柱形，上部有分枝，长50～80cm，直径0.2～0.4cm；表面淡黄绿色或淡紫红色，被短柔毛；体轻，质脆，断面类白色。叶对生，多已脱落，叶片3～5羽状分裂，裂片细长。穗状轮伞花序顶生，长2～9cm，直径约0.7cm。花冠多脱落，宿萼钟状，先端5齿裂，淡棕色或黄绿色，被短柔毛；小坚果棕黑色。气芳香，味微涩而辛凉。,微温；辛；归肺、肝经,解表散风，透疹。用于感冒，头痛，麻疹，风疹，疮疡初起。,Herba Schizonepetae,地上部分,荆芥,地上部分,香荆芥,JING JIE,,夏、秋二季花开到顶、穗绿时采割。除去杂质，晒干。,江苏、浙江、江西,表虚自汗、阴虚火旺者禁服。,解表药
《神农本草经》,内服：煎汤，6～12g；或入丸、散。,本品为圆柱状略弯曲的根茎，长4～13cm，直径0.6～2.5cm，顶端具茎痕。表面棕褐色至黑褐色，外皮脱落处呈黄色。节间缩短，呈紧密隆起的环状，形似蚕，习称“蚕羌”；节间延长，形如竹节状，习称“竹节羌”。节上有多数点状或瘤状突起的根痕及棕色破碎鳞片。体轻，质脆，易折断，断面不平整，有多数裂隙，皮部黄棕色至暗棕色，油润，有棕色油点，木部黄白色，射线明显，髓部黄色至黄棕色，气香，味微苦而辛。,温；辛、苦；归膀胱、肾经,散寒，祛风，除湿，止痛。用于风寒感冒头痛，风湿痹痛，肩背酸痛。,Rhizoma et Radix Notopterygii,根茎及根,羌活,根茎及根,川羌、蚕羌、竹节羌、大头羌,QIANG HUO,,春、秋二季采挖。除去须根及泥沙，晒干。,四川、甘肃、云南,阴虚血亏、气虚多汗者慎服。,解表药
《神农本草经》,内服：煎汤，3～9g；或入丸、散。外用：适量，研末撒或调敷。,本品呈长圆锥形，长10～25cm，直径1.5～2.5cm。表面灰棕色或黄棕色，根头部钝四棱形或近形，具纵皱纹、支根痕及皮孔样的横向突起，有的排列成四纵行。顶端有凹陷的茎痕。质坚实，断面白色或灰白色，粉性，形成层环棕色，近方形或近圆形，皮部散有多数棕色油点。气芳香，味辛、微苦。,温；辛；归胃、大肠、肺经,散风除湿，通窍止痛，消肿排脓。用于感冒头痛，眉棱骨痛，鼻塞，鼻渊，牙痛，白带。,Radix Angelicae Dahuricae,根,白芷,根,香白芷、川白芷、杭白芷、禹白芷,BAI ZHI,,夏、秋间叶黄时采挖。除去须根及泥沙，晒干或低温干燥。,四川、浙江、河南,气虚血热、阴虚阳亢者禁服。,解表药
《神农本草经》,内服：煎汤，3～10g；或入丸、散。外用：适量，煎水洗或调涂。,藁本：根茎呈不规则结节圆柱形，稍弯曲，有分枝，长3～10cm，直径1～2cm。表面棕褐色或暗棕色，粗糙，有纵皱纹，上侧残留数个凹陷的圆形茎基，下侧有多数点状突起的根痕及残根。体轻，质较硬，易折断，断面黄色或黄白色，纤维状。气浓香，味辛、苦、微麻。辽藁本：较小，根茎呈不规则的团块状或柱状，有多数细长弯曲的根。,温；辛；归膀胱经,祛风，散寒，除湿，止痛。用于风寒感冒，巅顶头痛，风湿肢节痹痛。,Rhizoma et Radix Ligustici,根茎,藁本,根茎,西芎藁本,GAO BEN,,秋季茎叶枯萎或次春出苗时采挖。除去泥沙，晒干或烘干。,湖南、四川、辽宁,阴血虚、肝阳亢及温热证头痛禁服。,解表药
《神农本草经》,内服：煎汤，3～10g；或入丸、散。外用：适量，捣敷或煎水洗。,本品呈纺锤形或卵圆形，长1～1.5cm，直径0.4～0.7cm。表面黄棕色黄绿色，全体有勾刺，顶端有2枚较粗的刺，分离或相连，基部有果梗痕。质硬而韧，横切面中央有纵隔膜，2室，各有1枚瘦果。瘦果略成纺锤形，一面较平坦，顶端具1突起的花柱基，果皮薄，灰黑色，具纵纹。种皮膜质，浅灰色，子叶2，有油性。气微，味微苦。,温；辛、苦；归肺经；有毒,散风除湿，通鼻窍。用于风寒头痛，鼻渊流涕，风疹瘙痒，湿痹拘挛。,Fructus Xanthii,果实,苍耳子,果实,牛虱子、胡苍子、苍郎种、棉螳螂,CANG ER ZI,,秋季果实成熟时采收。除去梗、叶等杂质。,全国各地均产,虚性头痛、痹痛禁服。,解表药
《神农本草经》,内服：煎汤，3～9g，宜包煎；或入丸、散。外用：适量，研末抽鼻，或以其蒸馏液滴鼻。,"本品呈长卵形，似毛笔头，长1.2～2.5cm，直径0.8～1.5cm。基部常具短梗，长约5mm,梗上有类白色点状皮孔。苞片2～3层，每层2片，两层苞片间有小鳞芽，苞片外表面密被灰白色或灰绿色茸毛，表面类棕色，无毛。花被片9，类棕色，外轮花被片3，条形，约为内两轮长的1/4，呈萼片状，内两轮花被片6，每轮3，轮状排列。雄蕊和雌蕊多数，螺旋状排列。体轻，质脆。气芳香，味辛凉而稍苦。",温；辛；归肺、胃经,散风寒，鼻通窍。用于风寒头痛，鼻塞，鼻渊，鼻流浊涕。,Flos Magnoliae,花蕾,辛夷,花蕾,迎春、木笔花、毛辛夷、姜朴花,XIN YI,,11～12月间采挖。除去枝梗，阴干。,广西、贵州、云南,阴虚火旺者慎服。,解表药
《神农本草经》,内服：煎汤，3～10g；或入散剂。外用：适量，煎水洗。,本品枝梗呈圆柱形。嫩枝直径不及1.5mm，表面灰绿色，生有许多互生的鳞片状的小叶。质脆，易折断。粗梗直径约3mm，表面红褐色，叶片常脱落而残留叶基呈突起状。粗梗的横切面黄白色，木质部占绝大部分，有明显的年轮，皮部与木质部极易分离，中央有髓。气微弱，味淡。,平；辛；归肺、胃、心经,发表透疹，祛风除湿。用于麻疹不透，风湿痹痛。,Cacumen Tamaricis,嫩枝叶,柽柳,嫩枝叶,柽、河柳、山川柳,CHENG LIU,,11～12月间采挖。阴干。,全国各地均产,麻疹已透及体虚多汗者禁服。,解表药
《神农本草经》,内服：煎汤，9～15g（鲜品30～60g）；或绞汁饮。外用：适量，煎水洗或捣敷。,干燥全草叶多卷缩脱落，茎亦枯萎，粗约1mm；根须卷曲，具浓烈的特殊香味。,温；辛；归肺、胃经,发表透疹，开胃消食。用于麻疹不透，食疗及饮食调味。,Herba Coriandri,全草,胡荽,全草,芫荽、香芫、园荽,HU SUI,,春季采收。洗净，晒干。,全国各地均产,麻疹已透，或虽未出透而热毒壅滞者禁服。,解表药
《神农本草经》,内服：煎汤，3～6g，宜后下；或入丸、散。外用：适量，煎水洗或捣汁涂敷。,"本品茎呈方柱形，有对生分枝，长15～40cm，直径0.2～0.4cm；表面紫棕色或淡绿色，棱角处具茸毛，节间长2～5cm；质脆，断面白色，髓部中空。叶对生，有短柄；叶片皱缩卷曲，完整者展平后呈宽披针形、长椭圆形或卵形，长2～7cm,宽1～3cm；上表面深绿色，下表面灰绿色，稀被茸毛，有凹点状腺鳞。轮伞花序腋生，花萼钟状，先端5齿裂，花冠淡紫色。揉搓后有特殊清凉香气，味辛凉。",凉；辛；归肺、肝经,宣散风热，清头目，透疹。用于风热感冒，温病初起，头痛，目赤，喉痹，口疮，风疹，麻疹，胸胁涨闷。,Herba Menthae,茎叶,薄荷,茎叶,蕃荷菜、苏薄荷叶,BO HE,,夏、秋二季茎叶茂盛或花开至三轮时晴天采割晒干或阴干。,我国南北均产,阴虚发热、血虚眩晕者慎服；表虚自汗者禁服。不宜多服久服。,解表药
